"astro-ph/0512553","Patricio S. Letelier","D. Vogt and P.S. Letelier","Comments on ""Perspectives on Galactic Dynamics via General Relativity""","5 pages, 1 figure",,,,"astro-ph gr-qc",,"  In this comment we question some arguments presented in astro-ph/0512048 to
refuse the presence of an singular mass surface layer. In particular, incorrect
expressions are used for the disk's surface mass density. We also point out
that the procedure of removing the descontinuity on the $z=0$ plane with a
region of continuous density gradient generates other two regions of
descontinuities with singular mass surface layers making the model unrealistic.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:40:32 GMT""}]","2007-05-23"
"hep-lat/0512034","Daqing Liu","Daqing Liu","A Quasi-staggered Scheme on Lattice","9 pages",,,,"hep-lat",,"  Utilizing a picture of string and string spinors, we show a simpler version
of staggered action. The advantage of this action is that in this action there
always exist pair of quarks with different masses.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 06:46:19 GMT""}]","2007-05-23"
"hep-lat/0512035","Jan van der Heide","J. van der heide, J.H. Koch and E. Laermann","Electromagnetic vertex function of the pion at T > 0","17 pages, 8 figures","Eur.Phys.J.C48:589-596,2006","10.1140/epjc/s10052-006-0018-4","NIKHEF/2005-031, BI-TP 2005/53","hep-lat",,"  The matrix element of the electromagnetic current between pion states is
calculated in quenched lattice QCD at a temperature of $T = 0.93 T_c$. The
nonperturbatively improved Sheikholeslami-Wohlert action is used together with
the corresponding ${\cal O}(a)$ improved vector current. The electromagnetic
vertex function is extracted for pion masses down to $360 {\rm MeV}$ and
momentum transfers $Q^2 \le 2.7 {\rm GeV}^2$.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 15:56:14 GMT""}]","2011-09-13"
"hep-ph/0512302","Antonio Lopez Maroto","J. A. R. Cembranos, A. Dobado, A. L. Maroto","Branon Phenomenology","Contribution to the Proceedings of 2005 International Linear Collider
  Physics and Detector Workshop and Second ILC Accelerator Workshop, Snowmass,
  CO (Snowmass05), 3 pages, LaTeX, 2 figures","ECONFC0508141:ALCPG0501,2005",,"UCI-TR-2005-43","hep-ph",,"  In brane-world models with low tension, the fluctuations of the brane along
the extra dimensions (branons) are the only relevant new low-energy modes. Such
branon fields are in general massive, stable and weakly interacting, and
accordingly they are natural candidates to explain the universe missing mass
problem. On the other hand, the branon phenomenology is very rich because they
couple to all the Standard Model particles. Distinctive branon signals could be
observed in next colliders and in dark matter searches.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:08:44 GMT""}]","2008-11-26"
"hep-ph/0512303","Alexei Smirnov Yu","Alexei Yu. Smirnov","Neutrino masses and mixing","11 pages, latex, iopams.sty, 3 figures. Invited talk given at
  TAUP2005, September 10 - 14, 2005, Zaragoza, Spain","J.Phys.Conf.Ser. 39 (2006) 232-242","10.1088/1742-6596/39/1/059",,"hep-ph",,"  Status of determination of the neutrino masses and mixing is formulated and
possible uncertainties, especially due to presence of the sterile neutrinos,
are discussed. The data hint an existence of special ``neutrino'' symmetries.
If not accidental these symmetries have profound implications and can
substantially change the unification program. The key issue on the way to
underlying physics is relations between quarks and leptons. The approximate
quark-lepton symmetry or universality can be reconciled with strongly different
patterns of masses and mixings due to nearly singular character of the mass
matrices or screening of the Dirac structures in the double see-saw mechanism.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:28:09 GMT""}]","2009-11-11"
"hep-ph/0512304","Eduardo Pont\'on","Eduardo Ponton and Lin Wang","Radiative Effects on the Chiral Square","70 pages, 15 figures","JHEP 0611 (2006) 018","10.1088/1126-6708/2006/11/018",,"hep-ph hep-th",,"  We consider general field theories in six dimensions, with two of the
dimensions compactified on a T_{2}/Z_{4} orbifold. Six-dimensional Weyl
fermions propagating on this background give rise to a chiral zero-mode, which
makes them interesting for phenomenological applications. The compact
two-dimensional space is flat and has three conical singularities. We consider
the one-loop structure of these theories, and show that the presence of
logarithmic divergences requires the introduction of counterterms precisely at
these three singular points. We also show that the corresponding localized
operators are rotationally symmetric in the plane of the two extra dimensions,
as expected from the geometry about the singularities. We derive the
propagators for spin-0, spin-1/2 and spin-1 fields in momentum space, in such a
way that the appropriate boundary conditions are satisfied. This allows us to
efficiently calculate loop diagrams in any given model. We give general
expressions for the mass splittings among Kaluza-Klein modes within a given
level. Our results can also be used to obtain interesting KK-parity preserving
interactions among Kaluza-Klein modes. We pay special attention to the
components of six-dimensional gauge fields that transform as scalars under the
four-dimensional Lorentz group. These states provide a characteristic signature
for these scenarios. In particular, we find that they can easily be the
lightest particles in the Kaluza-Klein spectrum.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:08:56 GMT""}]","2009-11-11"
"hep-ph/0512305","J.D. Vergados","J. D. Vergados (Unuversity of Ioannina, Ioannina, Greece)","Direct SUSY Dark Matter Detection- Constraints on the Spin Cross Section","15 LaTex pages, 21 figures, 2 tables",,,,"hep-ph",,"  The recent WMAP data have confirmed that exotic dark matter together with the
vacuum energy (cosmological constant) dominate in the flat Universe. Thus the
direct dark matter detection, consisting of detecting the recoiling nucleus, is
central to particle physics and cosmology. Supersymmetry provides a natural
dark matter candidate, the lightest supersymmetric particle (LSP). The relevant
cross sections arise out of two mechanisms: i) The coherent mode, due to the
scalar interaction and ii) The spin contribution arising from the axial
current. In this paper we will focus on the spin contribution, which maybe
important, especially for light targets.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:37:04 GMT""},{""version"":""v2"",""created"":""Thu, 22 Dec 2005 22:00:02 GMT""},{""version"":""v3"",""created"":""Sun, 25 Dec 2005 18:20:08 GMT""},{""version"":""v4"",""created"":""Mon, 9 Jan 2006 20:19:13 GMT""}]","2007-05-23"
"hep-ph/0512306","Cristian Pisano","Cristian Pisano","The Polarized and Unpolarized Photon Content of the Nucleon","PhD thesis, LaTeX, 164 pages",,,"DO-TH 2005/12","hep-ph",,"  In this thesis the polarized and unpolarized photon distributions of the
nucleon (proton, neutron) $(\Delta)\gamma^N$, evaluated in the equivalent
photon approximation (EPA), are computed theoretically and the possibility of
their experimental determination is demonstrated. Both of them consist of two
components: the elastic ones, $(\Delta)\gamma^N_{\rm el}$, due to $N\to \gamma
N $, and the inelastic ones, $(\Delta)\gamma^N_{\rm inel}$, due to $N\to \gamma
X$, with $X \neq N$. Special attention is devoted to the QED Compton process in
$e N \to e \gamma N$ and $e N \to e \gamma X$, which is one of the most
important reactions for directly measuring the photon content of the nucleon
and testing the reliability of the EPA. Furthermore, it is discussed how such
measurements can provide additional, independent informations concerning the
usual polarized and unpolarized structure functions.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 19:01:47 GMT""}]","2007-05-23"
"hep-ph/0512307","Jadranka Sekaric","Jadranka Sekaric","Studies of Gauge Boson Production with a gamma/gamma-collider at TESLA","PhD Theses, ~150pages",,,,"hep-ph",,"  In absence of the Standard Model Higgs boson the interaction among the gauge
bosons becomes strong at high energies and influences the couplings between
them. Each trilinear and quartic gauge boson vertex is characterised by a set
of couplings which are expected to deviate from their Standard Model values
already at energies lower than the energy scale of the New Physics.The precise
measurement of gauge boson couplings can provide clues to the mechanism of the
electroweak symmetry breaking and their anomalous values can be a sign of a New
Physics effect beyond the Standard Model. The estimated precisions of the
trilinear gauge boson coupling (TGC) measurements at a photon collider are
about one to two orders of magnitude higher than at LEP and Tevatron providing
a measurement highly sensitive to the physics beyond the Standard Model. The
optimisation of the forward region of the photon collider detector brings the
amount of the low-energy background to the manageable level providing a clean
environment for the TGC measurements at a photon collider with estimated
precisions.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 19:47:37 GMT""},{""version"":""v2"",""created"":""Mon, 16 Jan 2006 15:59:40 GMT""}]","2009-09-29"
"hep-ph/0512308","Szabolcs Borsanyi","Szabolcs Borsanyi","Nonequilibrium field theory from the 2PI effective action","Invited talk given at the 29th Johns Hopkins Workshop on current
  problems in particle theory: Strong matter in the heavens",,,,"hep-ph",,"  Nonperturbative approximation schemes are inevitable even in weakly coupled
theories if the nonequilibrium behavior of quantum fields is investigated. The
two-particle irreducible (2PI) effective action formalism provides an efficient
framework for obtaining resummation schemes both in and out of equilibrium. We
briefly review the these techniques and discuss recent findings for
nonequilibrium field theories.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 20:00:24 GMT""}]","2007-05-23"
"hep-ph/0512309","Kai Schwenzer","Thomas Schafer and Kai Schwenzer (North Carolina State University)","Low Energy Dynamics in Ultradegenerate QCD Matter","4 pages, published version","Phys.Rev.Lett. 97 (2006) 092301","10.1103/PhysRevLett.97.092301",,"hep-ph cond-mat.supr-con",,"  We study the low energy behavior of QCD Green functions in the limit that the
baryon chemical potential is much larger than the QCD scale parameter
$\Lambda_QCD$. We show that there is a systematic low energy expansion in
powers of $(\omega/m)^{1/3}$, where $\omega$ is the energy and $m$ is the
screening scale. This expansion is valid even if the effective quark-gluon
coupling $g$ is not small. The expansion is purely perturbative in the magnetic
regime $|\vec{k}| \gg k_0$. If the external momenta and energies satisfy $k_0
\sim |\vec{k}|$, planar, abelian ladder diagrams involving the full quark
propagator have to be resummed but the corresponding Dyson-Schwinger equations
are closed.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 20:34:57 GMT""},{""version"":""v2"",""created"":""Wed, 3 May 2006 15:18:52 GMT""},{""version"":""v3"",""created"":""Tue, 29 Aug 2006 08:55:52 GMT""}]","2009-11-11"
"hep-ph/0512310","A. B. Balantekin","A.B. Balantekin, J.H. de Jesus (Wisconsin U., Madison), C. Volpe
  (Orsay, IPN)","Electroweak Tests at Beta-beams","10 pages, 6 figures","Phys.Lett.B634:180-184,2006","10.1016/j.physletb.2006.01.059",,"hep-ph",,"  We explore the possibility of measuring the Weinberg angle from
(anti)neutrino-electron scattering using low energy beta beams, a method that
produces single flavour neutrino beams from the beta-decay of boosted
radioactive ions. We study how the sensitivity of a possible measurement
depends on the intensity of the ion beam and on a combination of different
Lorentz boosts of the ions.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 20:38:06 GMT""}]","2008-11-26"
"hep-ph/0512311","Ted Rogers","T.C. Rogers M.I. Strikman","Hadronic Interactions of Ultra-High Energy Photons with Protons and
  Light Nuclei in the Dipole Picture","30 pages, 12 figures 32 pages, 12 figures fixed typos, added
  background remarks, added reference and curve to figure 4","J.Phys. G32 (2006) 2041-2063",,,"hep-ph",,"  We apply the dipole formalism that has been developed to describe low-x deep
inelastic scattering to the case of ultra-high energy real photons with nucleon
and nuclear targets. We hope that there will be future modeling applications in
high-energy particle astrophysics. We modify the dipole model of McDermott,
Frankfurt, Guzey, and Strikman (MFGS) by fixing the cross section at the
maximum value allowed by the unitarity constraint whenever the dipole model
would otherwise predict a unitarity violation. We observe that, under
reasonable assumptions, a significant fraction of the real photon cross section
results from dipole interactions where the QCD coupling constant is small, and
that the MFGS model is consistent with the Froissart bound. The resulting model
predicts a rise of the cross section of about a factor of 12 when the the
photon energy is increased from $10^{3}$ GeV to $10^{12}$ GeV. We extend the
analysis to the case of scattering off a $^{12}$C target. We find that, due to
the low thickness of the light nuclei, unitarity for the scattering off
individual nucleons plays a larger role than for the scattering off the nucleus
as a whole. At the same time the proximity to the black disk limit results in a
substantial increase of the amount of nuclear shadowing. This, in turn, slows
down the rate of increase of the total cross section with energy as compared to
the proton case. As a result we find that the $^{12}$C nuclear cross section
rises by about a factor of 7 when the photon energy is increased from $10^{3}$
GeV to $10^{12}$ GeV. We also find that the fraction of the cross section due
to production of charm reaches 30% for the highest considered energies with a
$^{12}$C target.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 21:43:38 GMT""},{""version"":""v2"",""created"":""Fri, 6 Jan 2006 19:01:21 GMT""},{""version"":""v3"",""created"":""Mon, 23 Jan 2006 16:29:11 GMT""},{""version"":""v4"",""created"":""Tue, 24 Jan 2006 01:34:25 GMT""},{""version"":""v5"",""created"":""Thu, 26 Jan 2006 19:58:52 GMT""},{""version"":""v6"",""created"":""Fri, 8 Sep 2006 01:22:55 GMT""}]","2007-05-23"
"hep-ph/0512312","Mikhail Schepkin","Yu.A. Batusov, T.D. Blokhintseva, F. Balestra, M.P. Bussa, G.
  Piragino, G.B. Pontecorvo, M.G. Schepkin","Resonant behaviour in double charge exchange reaction of \pi^+ mesons on
  the nuclear photoemulsion","13 pages, 5 figures, revised version",,"10.1140/epja/i2006-10010-4",,"hep-ph",,"  The invariant mass spectra of the $pp\pi^-$ and $pp$ systems produced in the
double charge exchange (DCX) of positively charged pions on photoemulsion are
analysed. A pronounced peak is observed in the $pp\pi^-$ invariant mass
spectrum, while the $M_{pp}$ spectrum exhibits a strong Migdal-Watson effect of
the proton-proton final state interaction. These findings are in favor of the
$NN$-decoupled $NN\pi$ pseudoscalar resonance with T=0 called $d'$.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 09:57:57 GMT""},{""version"":""v2"",""created"":""Thu, 20 Apr 2006 17:08:47 GMT""}]","2009-11-11"
"hep-ph/0512313","Stephen King","I.de Medeiros Varzielas, S.F.King and G.G.Ross","Tri-bimaximal neutrino mixing from discrete subgroups of SU(3) and SO(3)
  family symmetry","10 pages, Latex","Phys.Lett.B644:153-157,2007","10.1016/j.physletb.2006.11.015",,"hep-ph",,"  It has recently been shown how tri-bimaximal neutrino mixing can be achieved,
using the see-saw mechanism with constrained sequential dominance, through the
vacuum alignment of a broken non-Abelian gauged family symmetry such as SO(3)
or SU(3). Generalising the approach of Altarelli and Feruglio developed for an
$A_4$ model we show how the reduction of the underlying symmetry to a discrete
subgroup of SO(3) or SU(3) renders this alignment a generic property of such
models. This means near tri-bimaximal mixing can be quite naturally
accommodated in a complete unified theory of quark and lepton masses.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 13:12:55 GMT""}]","2010-04-06"
"hep-ph/0512314","Gungwon Kang","Chueng-Ryong Ji, Gungwon Kang, Jungjai Lee","Instanton-inspired Model of QCD Phase Transition and Bubble Dynamics","19 pages, 32 figures","Phys.Rev.D73:085003,2006","10.1103/PhysRevD.73.085003",,"hep-ph hep-th",,"  We have reinvestigated the collision of gluonic bubbles in a SU(2) model of
QCD which was studied by Johnson, Choi and Kisslinger in the context of the
instanton-inspired model of QCD phase transition bubbles with plane wave
approximation. We discuss treacherous points of the instanton-inspired model
that cause the violation of causality due to the presence of imaginary gluon
fields. By constructing a new slightly modified Lorentzian model where we have
three independent real gluon fields, we reanalyzed the process of bubble
collisions. Our numerical results show some indication of forming a bubble wall
in colliding region.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 13:32:34 GMT""}]","2014-11-18"
"hep-ph/0512315","Siannah Penaranda","T. Hahn, W. Hollik, J.I. Illana, S. Penaranda","Interplay between Hbs and bsgamma in the MSSM with Non-Minimal Flavour
  Violation","LaTeX2e, 15 pages, 4 figures. Computation improved and figures
  replaced accordingly. Some references added. Main conclusions remain
  untouched",,,"CERN-PH-TH/2005-208, UG-FT-197/05, CAFPE-67/05, MPP-2005-168","hep-ph",,"  We investigate the constraints on flavour-changing neutral heavy Higgs-boson
decays H-> b \bar s from b -> s gamma bounds on the flavour-mixing parameters
of the MSSM with non-minimal flavour violation (NMFV). In our analysis we
include the contributions from the SM and new physics due to general flavour
mixing in the squark mass matrices. We study the case of one and two non-zero
flavour-mixing parameters and find that in the latter case the interference can
raise the Higgs flavour-changing branching ratios by one or two orders of
magnitude with respect to previous predictions based on a single non-zero
parameter and in agreement with present constraints from $B$ physics. In the
course of our work we developed a new ""FeynArts"" model file for the NMFV MSSM
and added the necessary code for the evaluation to ""FormCalc"". Both extensions
are publicly available.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 15:26:43 GMT""},{""version"":""v2"",""created"":""Thu, 4 May 2006 14:38:04 GMT""}]","2007-05-23"
"hep-ph/0512317","Dan Hooper","Lars Bergstrom and Dan Hooper","Dark Matter and Gamma-Rays From Draco: MAGIC, GLAST and CACTUS","8 pages, 3 figures, 2 tables","Phys.Rev.D73:063510,2006","10.1103/PhysRevD.73.063510","FERMILAB-PUB-05-538-A","hep-ph astro-ph",,"  The dwarf spheroidal galaxy Draco has long been considered likely to be one
of the brightest point sources of gamma-rays generated through dark matter
annihilations. Recent studies of this object have found that it remains largely
intact from tidal striping, and may be more massive than previously thought. In
this article, we revisit Draco as a source of dark matter annihilation
radiation, with these new observational constraints in mind. We discuss the
prospects for the experiments MAGIC and GLAST to detect dark matter in Draco,
as well as constraints from the observations of EGRET. We also discuss the
possibility that the CACTUS experiment has already detected gamma-rays from
Draco. We find that it is difficult to generate the flux reported by CACTUS
without resorting to non-thermally produced WIMPs and/or a density spike in
Draco's dark matter distribution due to the presence of an intermediate mass
black hole. We also find that for most annihilation modes, a positive detection
of Draco by CACTUS would be inconsistent with the lack of events seen by EGRET.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 15:29:01 GMT""},{""version"":""v2"",""created"":""Tue, 3 Jan 2006 22:37:27 GMT""}]","2008-11-26"
"hep-th/0512288","Marcus Venicius Cougo-Pinto","M V Cougo-Pinto, C Farina, F S S Rosa, J F M Mendes","Effective action in DSR1 quantum field theory","8 pages","J.Phys.A39:6253-6259,2006","10.1088/0305-4470/39/21/S16",,"hep-th",,"  We present the one-loop effective action of a quantum scalar field with DSR1
space-time symmetry as a sum over field modes. The effective action has real
and imaginary parts and manifest charge conjugation asymmetry, which provides
an alternative theoretical setting to the study of the particle-antiparticle
asymmetry in nature.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:53:39 GMT""}]","2009-11-11"
"hep-th/0512289","J. R. S. Nascimento","M. A. Anacleto, J. R. Nascimento, A. Yu. Petrov","Aharonov-Bohm Effect on Noncommutative Plane: A Coherent State Approach","14 pages, 4 figures, minor corrections","Phys.Lett.B637:344-349,2006","10.1016/j.physletb.2006.04.053",,"hep-th",,"  We apply the coherent state approach to study Aharonov-Bohm effect in the
field theory context. We verify that, contrarily to the commutative result, the
scattering amplitude is ultraviolet finite. However, we have logarithmic
singularities as the noncommutative parameter tends to zero. Thus, the
inclusion of a quartic self-interaction for the scalar field is necessary to
obtain a smooth commutative limit.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 17:18:26 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jan 2006 18:52:30 GMT""},{""version"":""v3"",""created"":""Thu, 4 May 2006 14:02:36 GMT""}]","2008-11-26"
"hep-th/0512290","Aybike Ozer","Aybike Catal-Ozer (Trinity College Dublin)","Lunin-Maldacena Deformations With Three Parameters","19 pages, JHEP3, References added","JHEP0602:026,2006","10.1088/1126-6708/2006/02/026",,"hep-th",,"  We examine the solution generating symmetries by which Lunin and Maldacena
have generated the gravity duals of beta-deformations of certain field
theories. We identify the O(2,2,R) matrix, which acts on the background matrix
E=g+B, where g and B are the metric and the B-field of the undeformed
background, respectively. This simplifies the calculations and makes some
features of the deformed backgrounds more transparent. We also find a new
three-parameter deformation of the Sasaki-Einstein manifolds T^{1,1} and
Y^{p,q}. Following the recent literature on the three-parameter deformation of
AdS_5 \times S^5, one would expect that our new solutions should correspond to
non-supersymmetric marginal deformations of the relevant dual field theories.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 17:41:46 GMT""},{""version"":""v2"",""created"":""Fri, 24 Feb 2006 18:27:50 GMT""}]","2009-11-11"
"hep-th/0512291","Andrei Barvinsky","A.O.Barvinsky and D.V.Nesterov","Quantum Effective Action in Spacetimes with Branes and Boundaries","LaTeX, 25 pages, final version, to appear in Phys. Rev. D","Phys.Rev.D73:066012,2006","10.1103/PhysRevD.73.066012",,"hep-th gr-qc",,"  We construct quantum effective action in spacetime with branes/boundaries.
This construction is based on the reduction of the underlying Neumann type
boundary value problem for the propagator of the theory to that of the much
more manageable Dirichlet problem. In its turn, this reduction follows from the
recently suggested Neumann-Dirichlet duality which we extend beyond the tree
level approximation. In the one-loop approximation this duality suggests that
the functional determinant of the differential operator subject to Neumann
boundary conditions in the bulk factorizes into the product of its Dirichlet
counterpart and the functional determinant of a special operator on the brane
-- the inverse of the brane-to-brane propagator. As a byproduct of this
relation we suggest a new method for surface terms of the heat kernel
expansion. This method allows one to circumvent well-known difficulties in heat
kernel theory on manifolds with boundaries for a wide class of generalized
Neumann boundary conditions. In particular, we easily recover several lowest
order surface terms in the case of Robin and oblique boundary conditions. We
briefly discuss multi-loop applications of the suggested Dirichlet reduction
and the prospects of constructing the universal background field method for
systems with branes/boundaries, analogous to the Schwinger-DeWitt technique.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:05:38 GMT""},{""version"":""v2"",""created"":""Wed, 15 Mar 2006 11:22:50 GMT""}]","2008-11-26"
"hep-th/0512292","Sophie de Buyl","S. de Buyl, M. Henneaux and L. Paulot","Extended E8 Invariance of 11-Dimensional Supergravity","9 pages","JHEP0602:056,2006","10.1088/1126-6708/2006/02/056",,"hep-th",,"  The hyperbolic Kac-Moody algebra E10 has repeatedly been suggested to play a
crucial role in the symmetry structure of M-theory. Recently, following the
analysis of the asymptotic behaviour of the supergravity fields near a
cosmological singularity, this question has received a new impulse. It has been
argued that one way to exhibit the symmetry was to rewrite the supergravity
equations as the equations of motion of the non-linear sigma model E10/K(E10).
This attempt, in line with the established result that the scalar fields which
appear in the toroidal compactification down to three spacetime dimensions form
the coset E8/SO(16), was verified for the first bosonic levels in a level
expansion of the theory. We show that the same features remain valid when one
includes the gravitino field
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:29:18 GMT""}]","2009-11-11"
"hep-th/0512293","Martin Rocek","Albert Ko and Martin Rocek","A Gravitational Effective Action on a Finite Triangulation","5 pages; clarifications, acknowledgements, references added","JHEP 0603 (2006) 021","10.1088/1126-6708/2006/03/021","YITP-SB-05-49","hep-th math.GT",,"  We construct a function of the edge-lengths of a triangulated surface whose
variation under a rescaling of all the edges that meet at a vertex is the
defect angle at that vertex. We interpret this function as a gravitational
effective action on the triangulation, and the variation as a trace anomaly.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:31:54 GMT""},{""version"":""v2"",""created"":""Sun, 15 Jan 2006 21:10:18 GMT""}]","2009-11-11"
"hep-th/0512294","Daniel Cremades","Daniel Cremades","Electric Tachyon Inflation","8 pages; Contribution to the proceedings of the RTN workshop
  ""Constituents, Fundamental Forces and Symmetries of the Universe"", Corfu,
  Greece, 20-26 September 2005. v2: Typos corrected, reference added","Fortsch.Phys. 54 (2006) 357-365","10.1002/prop.200510282","DAMTP-2006-1","hep-th",,"  We propose that under certain conditions the universal open string tachyon
can drive topological inflation in moduli stabilised frameworks. Namely, the
presence of electric field in the world volume of the D-brane can slow down its
decay leading to a phenomenological model of inflation. The conditions for
inflation to take place are difficult to satisfy in the standard warped
deformed conifold but easier to realise in other geometries.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 19:05:16 GMT""},{""version"":""v2"",""created"":""Tue, 3 Jan 2006 11:08:56 GMT""}]","2009-11-11"
"hep-th/0512295","Nelson R. F. Braga","Henrique Boschi-Filho, Nelson R. F. Braga and Cristine N. Ferreira","Static strings in Randall-Sundrum scenarios and the quark anti-quark
  potential","More clarifications added, typos corrected. Results unchanged","Phys.Rev.D73:106006,2006; Erratum-ibid.D74:089903,2006","10.1103/PhysRevD.73.106006 10.1103/PhysRevD.74.089903",,"hep-th hep-ph",,"  We calculate the energy of a static string in an AdS slice between two
D3-branes with orbifold condition. The energy for configurations with endpoints
on a brane grows linearly for large separation between these points. The
derivative of the energy has a discontinuity at some critical separation.
Choosing a particular position for one of the branes we find configurations
with smooth energy. In the limit where the other brane goes to infinity the
energy has a Coulombian behaviour for short separations and can be identified
with the Cornell potential for a quark anti-quark pair. This identification
leads to effective values for the AdS radius, the string tension and the
position of the infrared brane. These results suggest an approximate duality
between static strings in an AdS slice and a heavy quark anti-quark
configuration in a confining gauge theory.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 19:19:39 GMT""},{""version"":""v2"",""created"":""Wed, 29 Mar 2006 20:16:39 GMT""},{""version"":""v3"",""created"":""Mon, 10 Apr 2006 19:29:09 GMT""}]","2014-11-18"
"hep-th/0512296","Andrew Neitzke","Murat Gunaydin, Andrew Neitzke, Boris Pioline, Andrew Waldron","BPS black holes, quantum attractor flows and automorphic forms","9 pages, revtex; v2: references added and typos corrected","Phys.Rev.D73:084019,2006","10.1103/PhysRevD.73.084019","LPTENS-05-42","hep-th",,"  We propose a program for counting microstates of four-dimensional BPS black
holes in N >= 2 supergravities with symmetric-space valued scalars by
exploiting the symmetries of timelike reduction to three dimensions. Inspired
by the equivalence between the four dimensional attractor flow and geodesic
flow on the three-dimensional scalar manifold, we radially quantize stationary,
spherically symmetric BPS geometries. Connections between the topological
string amplitude, attractor wave function, the Ooguri-Strominger-Vafa
conjecture and the theory of automorphic forms suggest that black hole
degeneracies are counted by Fourier coefficients of modular forms for the
three-dimensional U-duality group, associated to special ""unipotent""
representations which appear in the supersymmetric Hilbert space of the quantum
attractor flow.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 20:54:10 GMT""},{""version"":""v2"",""created"":""Tue, 28 Mar 2006 02:05:37 GMT""}]","2011-02-09"
"hep-th/0512297","Robert McNees","Robert McNees","A New Boundary Counterterm for Asymptotically AdS Spacetimes","42+1 Pages",,,"Brown-HET-1460","hep-th gr-qc",,"  We present a modified version of the boundary counterterm method for removing
divergences from the action of an asymptotically $AdS$ spacetime. The standard
approach renders the action finite but leaves diffeomorphism invariance
partially broken if the dimension of the spacetime is odd. We show that this
symmetry is restored by a new boundary counterterm, needed to cancel a
divergence that appears in dimensional regularization. The result is a finite,
diffeomorphism invariant action appropriate for gravitational physics. As an
example we calculate the action for the Kerr-$AdS_5$ black hole. Unlike the
standard boundary counterterm results, our action yields conserved charges that
are consistent with the first law of black hole thermodynamics.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 20:40:57 GMT""}]","2007-05-23"
"hep-th/0512298","Johannes Walcher","Sergei Gukov and Johannes Walcher","Matrix Factorizations and Kauffman Homology","45 pages, harvmac",,,"CALT-68-2584, NSF-KITP-05-123","hep-th math.GT math.QA",,"  The topological string interpretation of homological knot invariants has led
to several insights into the structure of the theory in the case of sl(N). We
study possible extensions of the matrix factorization approach to knot homology
for other Lie groups and representations. In particular, we introduce a new
triply graded theory categorifying the Kauffman polynomial, test it, and
predict the Kauffman homology for several simple knots.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 21:23:57 GMT""}]","2007-05-23"
"hep-th/0512299","Jian-Huang She","Jian-Huang She","Winding String Condensation and Noncommutative Deformation of Spacelike
  Singularity","16 pages, no figures, harvmac; references added; added a section of
  discussion on disk and cylinder amplitudes","Phys.Rev.D74:046005,2006","10.1103/PhysRevD.74.046005",,"hep-th",,"  In a previous paper (hep-th/0509067) using matrix model, we showed that
closed string tachyons can resolve spacelike singularity in one particular
class of Misner space (with anti-periodic boundary conditions for fermions
around the spatial circle). In this note, we show that for Misner space without
closed string tachyons, there also exists a mechanism to resolve the
singularity in the context of the matrix model, namely cosmological winding
string production. We show that here space and time also become noncommutative
due to these winding strings. Employing optical theorem, we study the bulk
boundary coupling by calculating the four-open-string cylinder amplitudes.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 06:22:02 GMT""},{""version"":""v2"",""created"":""Wed, 4 Jan 2006 15:24:10 GMT""},{""version"":""v3"",""created"":""Tue, 14 Feb 2006 11:05:03 GMT""},{""version"":""v4"",""created"":""Sat, 8 Apr 2006 05:26:33 GMT""},{""version"":""v5"",""created"":""Fri, 26 May 2006 10:41:15 GMT""},{""version"":""v6"",""created"":""Fri, 28 Jul 2006 13:50:29 GMT""}]","2008-11-26"
