"astro-ph/0511774","Max Tegmark","Max Tegmark (MIT), Anthony Aguirre (UCSC), Martin J Rees (Cambridge),
  Frank Wilczek (MIT)","Dimensionless constants, cosmology and other dark matters","29 pages, 13 figs, minor mods to match published PRD version","Phys.Rev.D73:023505,2006","10.1103/PhysRevD.73.023505",,"astro-ph hep-ph hep-th",,"  We identify 31 dimensionless physical constants required by particle physics
and cosmology, and emphasize that both microphysical constraints and selection
effects might help elucidate their origin. Axion cosmology provides an
instructive example, in which these two kinds of arguments must both be taken
into account, and work well together. If a Peccei-Quinn phase transition
occurred before or during inflation, then the axion dark matter density will
vary from place to place with a probability distribution. By calculating the
net dark matter halo formation rate as a function of all four relevant
cosmological parameters and assessing other constraints, we find that this
probability distribution, computed at stable solar systems, is arguably peaked
near the observed dark matter density. If cosmologically relevant WIMP dark
matter is discovered, then one naturally expects comparable densities of WIMPs
and axions, making it important to follow up with precision measurements to
determine whether WIMPs account for all of the dark matter or merely part of
it.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:30:04 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 2005 15:30:08 GMT""},{""version"":""v3"",""created"":""Wed, 11 Jan 2006 21:29:45 GMT""}]","2008-11-26"
"hep-ph/0511333","Graeme Watt","G. Watt","Diffractive parton density functions","10 pages, 6 figures. To appear in the proceedings of the Ringberg
  Workshop on ""New Trends in HERA Physics 2005"", Ringberg Castle, Tegernsee,
  Germany, 2-7 October 2005",,"10.1142/9789812773524_0027",,"hep-ph",,"  We discuss the perturbative QCD description of diffractive deep-inelastic
scattering, and extract diffractive parton distributions from recent HERA data.
The asymptotic collinear factorisation theorem has important modifications in
the sub-asymptotic HERA regime. In addition to the usual resolved Pomeron
contribution, the direct interaction of the Pomeron must also be accounted for.
The diffractive parton distributions are shown to satisfy an inhomogeneous
evolution equation, analogous to the parton distributions of the photon.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 19:59:54 GMT""}]","2017-08-23"
"hep-ph/0511335","Stephen Godfrey","Stephen Godfrey, Pat Kalyniak, Alexander Tomkins (Carleton U)","Distinguishing Between Models with Extra Gauge Bosons at the ILC","Presented at the 2005 International Linear Collider Physics and
  Detector Workshop and Second ILC Accelerator Workshop, Snowmass, CO
  (Snowmass05), 5 pages, LaTeX, 6 postscript figures",,,"ALCPG0108","hep-ph",,"  Extra neutral gauge bosons arise in many extensions of the Standard Model. If
one were to be discovered it would be necessary to measure its properties so
that we could understand its origins. In this report we find that Z' couplings
can be measured at the ILC precisely enough to distinguish between models up to
a Z' mass of 2-3 TeV. An important ingredient in these measurements is
polarization of the e^- and to a lesser extent e^+ beams. b and c-quark tagging
would also give important additional information.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 22:01:34 GMT""}]","2007-05-23"
"hep-ph/0511336","Morimitsu Tanimoto","M.Tanimoto and T.Yanagida","A Higher-dimensional Origin of the Inverted Mass Hierarchy for Neutrino","15 pages","Phys.Lett. B633 (2006) 567-572","10.1016/j.physletb.2005.12.036",,"hep-ph",,"  We present successful lepton mass matrices with an inverted mass hierarchy
for neutrinos, which follow from a geometrical structure of a (1+5) dimensional
space-time where two extra dimensions are compactified on the T^2/Z_3 orbifold.
A 5^* and a right-handed neutrino N in each family are localized on each of the
equivalent three fixed points of the orbifold while three 10's and Higgs
doublets H_u and H_d live in the bulk. An S_3 family symmetry is assumed on
three 5^*'s and on three N's, since the three fixed points are equivalent to
one another. The Higgs field \phi responsible for the B-L breaking is localized
on one of the three fixed points, which generates the inverted hierarchy for
the neutrino masses. The baryon asymmetry is well explained in the non-thermal
leptogenesis via inflaton decay. We emphasize that the present model predicts
the effective neutrino mass, <m>_{ee}, responsible for neutrinoless double beta
decays as <m>_{ee}\simeq 50 meV. This will be accessible to future experiments.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 03:27:50 GMT""}]","2009-11-11"
"hep-ph/0511337","Tanvir Rahman","Tanvir Rahman","Effects of density fluctuations on Supernova Neutrinos: 2$\nu$ Case","This paper has been withdrawn due to the use of some incorrect
  neutrino parameter space ranges",,,,"hep-ph",,"  This paper has been withdrawn due to the use of some incorrect neutrino
parameter space ranges.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 01:13:29 GMT""},{""version"":""v2"",""created"":""Sat, 15 Apr 2006 15:02:08 GMT""}]","2007-05-23"
"hep-ph/0511338","Koichi Matsuda","Koichi Matsuda, Hiroyuki Nishiura","Broken Flavor 2 <-> 3 Symmetry and phenomenological approach for
  universal quark and lepton mass matrices","18 pages","Phys.Rev. D73 (2006) 013008","10.1103/PhysRevD.73.013008",,"hep-ph",,"  A phenomenological approach for the universal mass matrix model with a broken
flavor 2 <-> 3 symmetry is explored by introducing the 2 <-> 3 antisymmetric
parts of mass matrices for quarks and charged leptons . We present explicit
texture components of the matrices, which are consistent with all the neutrino
oscillation experiments and quark mixing data. The mass matrices have a common
structure for quarks and leptons, while the large lepton mixings and the small
quark mixings are derived with no fine tuning due to the difference of the
phase factors. The model predicts a value, 2.4 x 10^{-3}, for the lepton mixing
matrix element square |U_{13}|^2, and also predict <m_nu>=(0.89-1.4) x 10^{-4}
eV for the averaged neutrino mass which appears in the neutrinoless double beta
decay.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 06:16:27 GMT""},{""version"":""v2"",""created"":""Fri, 30 Dec 2005 04:55:00 GMT""},{""version"":""v3"",""created"":""Sat, 31 Dec 2005 12:06:37 GMT""}]","2009-11-11"
"hep-ph/0511339","Margarete Muhlleitner","M.M. Muhlleitner and P.M. Zerwas","Elements of Physics with a Photon Collider","Proceedings PLC2005, Kazimierz 2005","ActaPhys.Polon.B37:1021-1038,2006",,"DESY 05-241, LAPTH-CONF-1127/05","hep-ph",,"  After a brief description of the basic principle of a photon collider, we
summarize the physics potential of such a facility at high energies. Unique
opportunities are provided in supersymmetric theories for the discovery of
heavy scalar and pseudoscalar Higgs bosons as well as selectrons and
e-sneutrinos.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 08:51:44 GMT""}]","2008-11-26"
"hep-ph/0511340","Alexander Mitov","Alexander Mitov","A New Method for Calculating Differential Distributions Directly in
  Mellin Space","9 pages, 1 figure","Phys.Lett. B643 (2006) 366-373","10.1016/j.physletb.2006.10.059","DESY 05-244, SFB/CPP-05-82","hep-ph",,"  We present a new method for the calculation of differential distributions
directly in Mellin space without recourse to the usual momentum-fraction (or
z-) space. The method is completely general and can be applied to any process.
It is based on solving the Integration-by-Parts identities when one of the
powers of the propagators is an abstract number. The method retains the full
dependence on the Mellin variable and can be implemented in any program for
solving the IBP identities based on algebraic elimination, like Laporta.
General features of the method are: 1) faster reduction, 2) smaller number of
master integrals compared to the usual z-space approach and 3) the master
integrals satisfy difference instead of differential equations. This approach
generalizes previous results related to fully inclusive observables like the
recently calculated three-loop space-like anomalous dimensions and coefficient
functions in inclusive DIS to more general processes requiring separate
treatment of the various physical cuts. Many possible applications of this
method exist, the most notable being the direct evaluation of the three-loop
time-like splitting functions in QCD.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 10:17:52 GMT""}]","2009-11-11"
"hep-ph/0511341","Joao Pulido","Joao Pulido, B. C. Chauhan, R. S. Raghavan","Solar Neutrinos: Spin Flavour Precession and LMA","6 pages, 3 figures, contribution to 12th Lomonosov Conference in
  Elementary Particle Physics, Moscow, Aug 24-31 (2005)",,"10.1142/9789812772657_0010",,"hep-ph",,"  The time dependence that appears to be hinted by the data from the first 13
years of the solar neutrino Gallium experiments is viewed as resulting from a
partial conversion of active neutrinos to light sterile ones through the
resonant interaction between the magnetic moment of the neutrino and a varying
solar field. A summary of the model and its predictions are presented for the
forthcoming experiments Borexino and LENS.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 13:17:40 GMT""}]","2016-12-07"
"hep-ph/0511342","Cristina Manuel","Efrain J. Ferrer, Vivian de la Incera and Cristina Manuel","Colour superconductivity in a strong magnetic field","7 pages, 1 figure; contribution to the proceedings of QFEXT05,
  Barcelona (Spain), September 2005","J.Phys. A39 (2006) 6349-6356","10.1088/0305-4470/39/21/S27",,"hep-ph",,"  We explore the effects of an applied strong external magnetic field in a
three flavour massless colour superconductor. The long-range component of the B
field that penetrates the superconductor enhances some quark condensates,
leading to a different condensation pattern. The external field also reduces
the flavour symmetries in the system, and thus it changes drastically the
corresponding low energy physics. Our considerations are relevant for the study
of highly magnetized compact stars.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 13:27:12 GMT""}]","2009-11-11"
"hep-ph/0511343","Boris Ermolaev","B.I. Ermolaev, M. Greco, S.I. Troyan","Role of the singular factors in the standard fits for initial parton
  densities","Invited talk at the XI Workshop on High Energy Spin Physics, Dubna,
  Russia, September 27 - October 1, 2005, 4 pages, LaTeX",,,,"hep-ph",,"  Total resummation of double- and single- logarithms of x contributing to the
spin-dependent structure function g_1 ensures its steep rise at small $x$. In
the asymptotic limit x ->0, the resummation leads to the Regge behavior of g_1
and allows to calculate the non-singlet and singlet intercepts of g_1. DGLAP
lacks such a resummation but suggests special phenomenological fits for the
initial parton densities such that the singular factors x^{-\alpha} in the fits
mimic the resummation and also provide g_1 with the steep (power-like) rise at
the small-x region. Accounting for the total resummaton of logarithms of x
allows to drop the singular factors in the fits and leads to remarkable
simplifications of the fits.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 14:06:41 GMT""}]","2007-05-23"
"hep-ph/0511344","Wolfgang Kilian","J.A. Aguilar-Saavedra, A. Ali, B.C. Allanach, R. Arnowitt, H.A. Baer,
  J.A. Bagger, C. Balazs, V. Barger, M. Barnett, A. Bartl, M. Battaglia, P.
  Bechtle, G. Belanger, A. Belyaev, E.L. Berger, G. Blair, E. Boos, M. Carena,
  S.Y. Choi, F. Deppisch, A. De Roeck, K. Desch, M.A. Diaz, A. Djouadi, B.
  Dutta, S. Dutta, H. Eberl, J. Ellis, J. Erler, H. Fraas, A. Freitas, T.
  Fritzsche, R.M. Godbole, G.J. Gounaris, J. Guasch, J. Gunion, N. Haba, H.E.
  Haber, K. Hagiwara, L. Han, T. Han, H.-J. He, S. Heinemeyer, S. Hesselbach,
  K. Hidaka, I. Hinchliffe, M. Hirsch, K. Hohenwarter-Sodek, W. Hollik, W.S.
  Hou, T. Hurth, I. Jack, Y. Jiang, D.R.T. Jones, J. Kalinowski, T. Kamon, G.
  Kane, S.K. Kang, T. Kernreiter, W. Kilian, C.S. Kim, S.F. King, O. Kittel, M.
  Klasen, J.-L. Kneur, K. Kovarik, M. Kramer, S. Kraml, R. Lafaye, P.
  Langacker, H.E. Logan, W.-G. Ma, W. Majerotto, H.-U. Martyn, K. Matchev, D.J.
  Miller, M. Mondragon, G. Moortgat-Pick, S. Moretti, T. Mori, G. Moultaka, S.
  Muanza, M.M. Muhlleitner, B. Mukhopadhyaya, U. Nauenberg, M.M. Nojiri, D.
  Nomura, H. Nowak, N. Okada, K.A. Olive, W. Oller, M. Peskin, T. Plehn, G.
  Polesello, W. Porod, F. Quevedo, D. Rainwater, J. Reuter, P. Richardson, K.
  Rolbiecki, P. Roy, R. Ruckl, H. Rzehak, P. Schleper, K. Siyeon, P. Skands, P.
  Slavich, D. Stockinger, P. Sphicas, M. Spira, T. Tait, D.R. Tovey, J.W.F.
  Valle, C.E.M. Wagner, Ch. Weber, G. Weiglein, P. Wienemann, Z.-Z. Xing, Y.
  Yamada, J.M. Yang, D. Zerwas, P.M. Zerwas, R.-Y. Zhang, X. Zhang, S.-H. Zhu","Supersymmetry Parameter Analysis: SPA Convention and Project","17pp; references corrected","Eur.Phys.J.C46:43-60,2006","10.1140/epjc/s2005-02460-1","CERN-PH-TH/2005-232, DESY 05-242, FERMILAB-PUB-05-524-T,
  KEK-TH-1054, SLAC-PUB-11579","hep-ph",,"  High-precision analyses of supersymmetry parameters aim at reconstructing the
fundamental supersymmetric theory and its breaking mechanism. A well defined
theoretical framework is needed when higher-order corrections are included. We
propose such a scheme, Supersymmetry Parameter Analysis SPA, based on a
consistent set of conventions and input parameters. A repository for computer
programs is provided which connect parameters in different schemes and relate
the Lagrangian parameters to physical observables at LHC and high energy e+e-
linear collider experiments, i.e., masses, mixings, decay widths and production
cross sections for supersymmetric particles. In addition, programs for
calculating high-precision low energy observables, the density of cold dark
matter (CDM) in the universe as well as the cross sections for CDM search
experiments are included. The SPA scheme still requires extended efforts on
both the theoretical and experimental side before data can be evaluated in the
future at the level of the desired precision. We take here an initial step of
testing the SPA scheme by applying the techniques involved to a specific
supersymmetry reference point.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 14:44:16 GMT""},{""version"":""v2"",""created"":""Wed, 7 Dec 2005 16:16:21 GMT""}]","2009-01-07"
"hep-ph/0511345","Shao-Hsuan Chiu","Shao-Hsuan Chiu and T. K. Kuo","Probing neutrino mass hierarchies and $\phi_{13}$ with supernova
  neutrinos","16 pages, 3 figures. Ref [11] added, and some typos corrected","Phys. Rev. D 73, 033007 (2006)","10.1103/PhysRevD.73.033007",,"hep-ph",,"  We investigate the feasibility of probing the neutrino mass hierarchy and the
mixing angle $\phi_{13}$ with the neutrino burst from a future supernova. An
inverse power-law density $\rho \sim r^{n} $ with varying $n$ is adopted in the
analysis as the density profile of a typical core-collapse supernova. The
survival probabilities of $\nu_{e}$ and $\bar{\nu}_{e}$ are shown to reduce to
two-dimensional functions of $n$ and $\phi_{13}$. It is found that in the
$n-\sin^{2} \phi_{13}$ parameter space, the 3D plots of the probability
functions exhibit highly non-trivial structures that are sensitive to the mass
hierarchy, the mixing angle $\phi_{13}$, and the value of $n$. The conditions
that lead to observable differences in the 3D plots are established. With the
uncertainty of $n$ considered, a qualitative analysis of the Earth matter
effect is also included.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 14:45:16 GMT""},{""version"":""v2"",""created"":""Wed, 18 Jan 2006 11:27:30 GMT""},{""version"":""v3"",""created"":""Mon, 27 Feb 2006 08:24:48 GMT""}]","2007-05-23"
"hep-ph/0511348","Marco Serone","Giuliano Panico and Marco Serone","The Electroweak Phase Transition in Models with Gauge-Higgs Unification","4 pages, 2 figures, contribution to the Proceedings of the Int.
  Europhysics Conf. on High Energy Physics (HEP2005), July 21-27 2005, Lisboa,
  Portugal",,,,"hep-ph",,"  The dynamics of five dimensional Wilson line phases at finite temperature is
studied in the one-loop approximation. We show that at temperatures of order
$T\sim 1/L$, where L is the length of the compact space, the gauge symmetry is
always restored and the electroweak phase transition appears to be of first
order.
  We focus on a specific model where the Wilson line phase is identified with
the Higgs field (gauge-Higgs unification). The transition is of first order
even for values of the Higgs mass above the current experimental limit. If
large localized gauge kinetic terms are present, the transition might be strong
enough to give baryogenesis at the electroweak transition.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 15:06:30 GMT""}]","2007-05-23"
"hep-ph/0511349","Giulia Zanderighi","G. Zanderighi","Resummation of event-shapes at hadron-hadron colliders","Invited talk at 2005 International Linear Collider Physics and
  Detector Workshop and Second ILC Accelerator Workshop, Snowmass, CO
  (Snowmass05), 3 pages","ECONFC0508141:ALCPG0419,2005",,"ALCPG0419, FERMILAB-CONF-05-528-T, CERN-PH-TH/2005-239","hep-ph",,"  We point out that a study of event shapes at hadron colliders allows to
explore novel aspects of QCD. These studies are today made easier by the
development of a program which automates the resummation.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 15:15:22 GMT""}]","2008-11-26"
"hep-ph/0511350","Giulia Zanderighi","G.Zanderighi","Semi-numerical evaluation of one-loop corrections","Invited talk at LoopFest IV, during the 2005 International Linear
  Collider Physics and Detector Workshop, Snowmass, CO (Snowmass05), 3 pages","ECONFC0508141:ALCPG1918,2005",,"FERMILAB-CONF-05-529-T, CERN-PH-TH/2005-240","hep-ph",,"  We present a semi-numerical method to compute one-loop corrections to
processes involving many particles. We treat in detail cases with up to five
external legs and massless internal propagators, although the method is more
general.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 15:33:31 GMT""}]","2008-11-26"
"hep-ph/0511351","Robert Thorne S","R.S. Thorne","Importance of a Measurement of F_L(x,Q^2) at HERA","To be published in the proceedings of the Ringberg Workshop on ""New
  Trends in HERA Physics 2005""",,"10.1142/9789812773524_0031","Cavendish-HEP-2005/22","hep-ph",,"  I investigate what a direct measurement of the longitudinal structure
function F_L(x,Q^2) could teach us about the structure of the proton and the
best way in which to use perturbative QCD for structure functions. I assume
HERA running at a lowered beam energy for approximately 4-5 months and examine
how well the measurement could distinguish between different theoretical
approaches. I conclude that such a measurement would provide useful information
on how to calculate structure functions and parton distributions at small x.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 15:43:36 GMT""}]","2017-08-23"
"hep-th/0511285","Federico Piazza","Federico Piazza","Quantum degrees of freedom of a region of spacetime","6 pages, talk given at the XXVIII Spanish Relativity Meeting, Oviedo
  Spain, to appear in the proceedings",,"10.1063/1.2218238",,"hep-th gr-qc quant-ph",,"  The holographic principle and the thermodynamics of de Sitter space suggest
that the total number of fundamental degrees of freedom associated with any
finite-volume region of space may be finite. The naive picture of a short
distance cut-off, however, is hardly compatible with the dynamical properties
of spacetime, let alone with Lorentz invariance. Considering the regions of
space just as general ``subsystems'' may help clarifying this problem. In usual
QFT the regions of space are, in fact, associated with a tensor product
decomposition of the total Hilbert space into ``subsystems'', but such a
decomposition is given a priori and the fundamental degrees of freedom are
labelled, already from the beginning, by the spacetime points. We suggest a new
strategy to identify ``localized regions'' as ``subsystems'' in a way which is
intrinsic to the total Hilbert-space dynamics of the quantum state of the
fields.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:35:55 GMT""}]","2009-11-11"
"hep-th/0511286","Martin Schnabl","Martin Schnabl","Analytic solution for tachyon condensation in open string field theory","60 pages, 4 figures, v2: typos corrected, references added","Adv.Theor.Math.Phys.10:433-501,2006",,"CERN-PH-TH/2005-220","hep-th",,"  We propose a new basis in Witten's open string field theory, in which the
star product simplifies considerably. For a convenient choice of gauge the
classical string field equation of motion yields straightforwardly an exact
analytic solution that represents the nonperturbative tachyon vacuum. The
solution is given in terms of Bernoulli numbers and the equation of motion can
be viewed as novel Euler--Ramanujan-type identity. It turns out that the
solution is the Euler--Maclaurin asymptotic expansion of a sum over wedge
states with certain insertions. This new form is fully regular from the point
of view of level truncation. By computing the energy difference between the
perturbative and nonperturbative vacua, we prove analytically Sen's first
conjecture.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:18:20 GMT""},{""version"":""v2"",""created"":""Fri, 9 Jun 2006 15:39:02 GMT""}]","2008-11-26"
"hep-th/0511290","Axel Kleinschmidt","Axel Kleinschmidt, Hermann Nicolai","E10 Cosmology","16 pages, 1 figure. v2: Additional references","JHEP0601:137,2006","10.1088/1126-6708/2006/01/137","AEI-2005-179","hep-th gr-qc",,"  We construct simple exact solutions to the E10/K(E10) coset model by
exploiting its integrability. Using the known correspondences with the bosonic
sectors of maximal supergravity theories, these exact solutions translate into
exact cosmological solutions. In this way, we are able to recover some recently
discovered solutions of M-theory exhibiting phases of accelerated expansion,
or, equivalently, S-brane solutions, and thereby accommodate such solutions
within the E10/K(E10) model. We also discuss the difficulties regarding
solutions with non-vanishing (constant) curvature of the internal manifold.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:19:10 GMT""},{""version"":""v2"",""created"":""Wed, 18 Jan 2006 15:03:01 GMT""}]","2009-11-11"
"hep-th/0511291","Bert Schroer","Bert Schroer","Addendum to: Area density of localization-entropy I","14 pages latex, gain of clarity through improvements of formulations","Class. Quantum Grav. 24, (2007) 4239",,,"hep-th",,"  This addendum adds some comments to a published paper (B. Schroer, Class.
Quantum Grav. 23, (2006) 5227) on area density of localization-entropy. The
setting of holography and localization-entropy is generalized to double cones
and black holes with bifurcate Killing horizons. PACS: 11.10.-z, 11.25.Hf,
04.70.Dy
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:43:43 GMT""},{""version"":""v2"",""created"":""Fri, 7 Apr 2006 21:03:37 GMT""},{""version"":""v3"",""created"":""Wed, 11 Oct 2006 16:18:55 GMT""},{""version"":""v4"",""created"":""Thu, 6 Dec 2007 19:38:47 GMT""}]","2007-12-06"
"hep-th/0511292","Marcello Musso","Jerome Martin (Paris, Inst.Astrophys.), Marcello Musso (Texas U.)","On the Reliability of the Langevin Pertubative Solution in Stochastic
  Inflation","7 pages, 3 figures","Phys.Rev.D73:043517,2006","10.1103/PhysRevD.73.043517","UTTG-15-05","hep-th astro-ph gr-qc hep-ph",,"  A method to estimate the reliability of a perturbative expansion of the
stochastic inflationary Langevin equation is presented and discussed. The
method is applied to various inflationary scenarios, as large field, small
field and running mass models. It is demonstrated that the perturbative
approach is more reliable than could be naively suspected and, in general, only
breaks down at the very end of inflation.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:21:54 GMT""}]","2008-11-26"
"hep-th/0511293","Robert. Coquereaux","Robert Coquereaux","Racah - Wigner quantum 6j Symbols, Ocneanu Cells for AN diagrams, and
  quantum groupoids","52 pages, 27 figures. Version 2: Contents of subsections 2.6.3 and
  3.8.1 have been changed. Fig. 9 was replaced. Updated and added references.
  Typos corrected","J.Geom.Phys.57:387-434,2007","10.1016/j.geomphys.2006.03.010",,"hep-th math-ph math.MP math.QA",,"  We relate quantum 6J symbols of various types (quantum versions of Wigner and
Racah symbols) to Ocneanu cells associated with AN Dynkin diagrams. We check
explicitly the algebraic structure of the associated quantum groupoids and
analyze several examples (A3, A4). Some features relative to cells associated
with more general ADE diagrams are also discussed.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:48:23 GMT""},{""version"":""v2"",""created"":""Mon, 8 May 2006 20:41:36 GMT""}]","2008-11-26"
"hep-th/0511294","Mauro Riccardi","Mauro Riccardi","Physical Observables for Noncommutative Landau Levels","14 pages, 6 figures, replaced with corrected version as it appears in
  J.Phys.A","J.Phys.A39:4257-4272,2006","10.1088/0305-4470/39/16/012",,"hep-th",,"  The Quantum Mechanics of a point particle on a Noncommutative Plane in a
magnetic field is implemented in the present work as a deformation of the
algebra which defines the Landau levels. I show how to define, in this deformed
Quantum Mechanics, the physical observables, like the density correlation
functions and Green function, on the completely filled ground level. Also it
will be shown that the deformation changes the effective magnetic field which
acts on the particles at long range, leading to an incompressible fluid with
fractional filling of Laughlin type.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:57:50 GMT""},{""version"":""v2"",""created"":""Wed, 30 Nov 2005 15:51:56 GMT""},{""version"":""v3"",""created"":""Mon, 1 May 2006 19:33:52 GMT""}]","2009-11-11"
"hep-th/0511295","Marco Bertola","M. Bertola","Two-matrix model with semiclassical potentials and extended Whitham
  hierarchy","32 pages, one figure","J.Phys.A39:8823-8856,2006","10.1088/0305-4470/39/28/S05",,"hep-th",,"  We consider the two-matrix model with potentials whose derivative are
arbitrary rational function of fixed pole structure and the support of the
spectra of the matrices are union of intervals (hard-edges). We derive an
explicit formula for the planar limit of the free energy and we derive a
calculus which allows to compute derivatives of arbitrarily high order by
extending classical Rauch's variational formulae. The four-points correlation
functions are explicitly worked out. The formalism extends naturally to the
computation of residue formulae for the tau function of the so-called universal
Whitham hierarchy studied mainly by I. Krichever: our setting extends that
moduli space in that there are certain extra data.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 18:28:08 GMT""}]","2009-11-11"
"hep-th/0511296","Ergin Sezgin","E. Sezgin and P. Sundell","On an Exact Cosmological Solution of Higher Spin Gauge Theory","12 pages, Proceedings of the 4th International Symposium ""Quantum
  Theory and Symmetries"" (QTS-4), 15-21 August 2005, Varna, Bulgaria. v2:
  clarifying remarks and references added",,,,"hep-th",,"  We review our recent exact solution to four-dimensional higher spin gauge
theory invariant under a higher spin extension of SO(3,1) and we comment on its
cosmological interpretation. We find an effective Einstein-scalar field theory
that admits this solution, and we highlight the significance of the Einstein
frame and what we call higher spin frame in the cosmological interpretation of
the solution. We also compare the properties of the solution with those based
on an Einstein-scalar system that arises in a consistent truncation of gauged
N=8,D=4 supergravity.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 18:44:47 GMT""},{""version"":""v2"",""created"":""Sat, 31 Dec 2005 02:59:37 GMT""}]","2007-05-23"
"hep-th/0511297","Seiji Terashima","Koji Hashimoto (Univ. of Tokyo) and Seiji Terashima (Rutgers)","ADHM is Tachyon Condensation","33 pages, 3 eps figures, JHEP style, comments added, references added","JHEP0602:018,2006","10.1088/1126-6708/2006/02/018","UT-Komaba/05-13, DAMTP-2005-113, NSF-KITP-05-96","hep-th",,"  We completely realize the ADHM construction of instantons in D-brane language
of tachyon condensations. Every step of the construction is given a physical
interpretation in string theory, in a boundary state formalism valid all order
in \alpha'. Accordingly, equivalence between Yang-Mills configurations on
D4-branes and D0-branes inside the D4-branes is proven, which shows that small
instanton configurations of the Yang-Mills fields are protected against stringy
\alpha' corrections. We provide also D-brane realizations of the inverse ADHM
construction, the completeness, and the noncommutative ADHM construction.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 21:01:19 GMT""},{""version"":""v2"",""created"":""Sun, 18 Dec 2005 22:40:37 GMT""}]","2009-11-11"
"hep-th/0511298","Joshua Davis","Joshua L. Davis","The Moduli Space and Phase Structure of Heterotic Strings in Two
  Dimensions","23 pages, 1 figure, harvmac.tex; v2: minor changes to introduction,
  version to be published in Phys. Rev. D","Phys.Rev.D74:026004,2006","10.1103/PhysRevD.74.026004",,"hep-th",,"  We explore the moduli space of heterotic strings in two dimensions. In doing
so, we introduce new lines of compactified theories with Spin(24) gauge
symmetry and discuss compactifications with Wilson lines. The phase structure
of d=2 heterotic string theory is examined by classifying the hypersurfaces in
moduli space which support massless quanta or discrete states. Finally, we
compute the torus amplitude over much of the moduli space.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 22:34:00 GMT""},{""version"":""v2"",""created"":""Mon, 19 Jun 2006 14:05:46 GMT""}]","2008-11-26"
"hep-th/0511299","Robert Brandenberger","Robert Brandenberger and Natalia Shuhmaher","The Confining Heterotic Brane Gas: A Non-Inflationary Solution to the
  Entropy and Horizon Problems of Standard Cosmology","7 pages, no figures, small error in Section IV corrected","JHEP 0601 (2006) 074","10.1088/1126-6708/2006/01/074",,"hep-th astro-ph gr-qc hep-ph",,"  We propose a mechanism for solving the horizon and entropy problems of
standard cosmology which does not make use of cosmological inflation. Crucial
ingredients of our scenario are brane gases, extra dimensions, and a confining
potential due to string gas effects which becomes dominant at string-scale
brane separations. The initial conditions are taken to be a statistically
homogeneous and isotropic hot brane gas in a space in which all spatial
dimensions are of string scale. The extra dimensions which end up as the
internal ones are orbifolded. The hot brane gas leads to an initial phase
(Phase 1) of isotropic expansion. Once the bulk energy density has decreased
sufficiently, a weak confining potential between the two orbifold fixed planes
begins to dominate, leading to a contraction of the extra spatial dimensions
(Phase 2). String modes which contain momentum about the dimensions
perpendicular to the orbifold fixed planes provide a repulsive potential which
prevents the two orbifold fixed planes from colliding. The radii of the extra
dimensions stabilize, and thereafter our three spatial dimensions expand as in
standard cosmology. The energy density after the stabilization of the extra
dimensions is of string scale, whereas the spatial volume has greatly increased
during Phases 1 and 2, thus leading to a non-inflationary solution of the
horizon and entropy problems.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 22:39:40 GMT""},{""version"":""v2"",""created"":""Thu, 1 Dec 2005 04:51:09 GMT""},{""version"":""v3"",""created"":""Wed, 7 Dec 2005 04:59:09 GMT""}]","2007-05-23"
