"astro-ph/0511410","Kris Sigurdson","Nicole F. Bell (Caltech), Elena Pierpaoli (Caltech), and Kris
  Sigurdson (Caltech and IAS)","Cosmological Signatures of Interacting Neutrinos","17 pages, 14 figures, minor changes and references added, published
  in Phys. Rev. D","Phys.Rev. D73 (2006) 063523","10.1103/PhysRevD.73.063523","KRL-MAP-309","astro-ph hep-ph",,"  We investigate signatures of neutrino scattering in the Cosmic Microwave
Background (CMB) and matter power spectra, and the extent to which present
cosmological data can distinguish between a free streaming or tightly coupled
fluid of neutrinos. If neutrinos have strong non-standard interactions, for
example, through the coupling of neutrinos to a light boson, they may be kept
in equilibrium until late times. We show how the power spectra for these models
differ from more conventional neutrino scenarios, and use CMB and large scale
structure data to constrain these models. CMB polarization data improves the
constraints on the number of massless neutrinos, while the Lyman--$\alpha$
power spectrum improves the limits on the neutrino mass. Neutrino mass limits
depend strongly on whether some or all of the neutrino species interact and
annihilate. The present data can accommodate a number of tightly-coupled
relativistic degrees of freedom, and none of the interacting-neutrino scenarios
considered are ruled out by current data -- although considerations regarding
the age of the Universe disfavor a model with three annihilating neutrinos with
very large neutrino masses.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:32:21 GMT""},{""version"":""v2"",""created"":""Sat, 1 Apr 2006 01:01:51 GMT""}]","2007-05-23"
"gr-qc/0511082","David Garfinkle","David Garfinkle","The need for dark matter in galaxies",,"Class.Quant.Grav. 23 (2006) 1391","10.1088/0264-9381/23/4/N01",,"gr-qc astro-ph",,"  Cooperstock and Tieu have proposed a model to account for galactic rotation
curves without invoking dark matter. I argue that no model of this type can
work.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 22:21:25 GMT""}]","2009-11-11"
"gr-qc/0511084","Chung-Hsien Chou","Chung-Hsien Chou, Yi Ling, Chopin Soo, Hoi-Lai Yu","Effective gauge group of pure loop quantum gravity is SO(3): New
  estimate of the Immirzi parameter","new value of Immirzi parameter is ~0.170; dominance of miminum spin
  configurations is not assumed in comparing with Bekenstein-Hawking formula;
  typos corrected. Version pressed in PLB","Phys.Lett. B637 (2006) 12-15","10.1016/j.physletb.2006.04.028",,"gr-qc",,"  We argue that the effective gauge group for {\it pure} four-dimensional loop
quantum gravity(LQG) is SO(3) (or $SO(3,C)$) instead of SU(2) (or $SL(2,C)$).
As a result, links with half-integer spins in spin network states are not
realized for {\it pure} LQG, implying a modification of the spectra of area and
volume operators. Our observations imply a new value of $\gamma \approx 0.170$
for the Immirzi parameter which is obtained from matching the
Bekenstein-Hawking entropy to the number of states from LQG calculations.
Moreover, even if the dominant contribution to the entropy is not assumed to
come from configurations with the minimum spins, the results of both pure LQG
and the supersymmetric extension of LQG can be made compatible when only
integer spins are realized for the former, while the latter also contains
half-integer spins, together with an Immirzi parameter for the supersymmetric
case which is twice the value of the SO(3) theory. We also verify that the
$-{1/2}$ coefficient of logarithmic correction to the Bekenstein-Hawking
entropy formula is robust, independent of whether only integer, or also
half-integer spins, are realized.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 05:47:53 GMT""},{""version"":""v2"",""created"":""Mon, 23 Jan 2006 06:57:39 GMT""},{""version"":""v3"",""created"":""Sun, 5 Feb 2006 17:24:28 GMT""},{""version"":""v4"",""created"":""Tue, 28 Feb 2006 20:46:58 GMT""},{""version"":""v5"",""created"":""Wed, 17 May 2006 14:58:09 GMT""}]","2009-11-11"
"gr-qc/0511085","Chen Songbai","Songbai Chen and Jiliang Jing","Quasinormal modes of a black hole surrounded by quintessence","7 pages, 3 figures","Class.Quant.Grav. 22 (2005) 4651-4657","10.1088/0264-9381/22/21/011",,"gr-qc",,"  Using the third-order WKB approximation, we evaluate the quasinormal
frequencies of massless scalar field perturbation around the black hole which
is surrounded by the static and spherically symmetric quintessence. Our result
shows that due to the presence of quintessence, the scalar field damps more
rapidly. Moreover, we also note that the quintessential state parameter
$\epsilon$ (the ratio of pressure $p_q$ to the energy density $\rho_q$) play an
important role for the quasinormal frequencies. As the state parameter
$\epsilon$ increases the real part increases and the absolute value of the
imaginary part decreases. This means that the scalar field decays more slowly
in the larger $\epsilon$ quintessence case.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 11:32:41 GMT""}]","2009-11-11"
"gr-qc/0511086","Mohammad Mansouryar","Mohammad Mansouryar","On a macroscopic traversable spacewarp in practice","44 pages, 8 Boxes of Figs, typos and one box corrected, one formula
  and some links along with some new notes added, some references changed",,,,"gr-qc",,"  A design of a configuration for violation of the averaged null energy
condition (ANEC) and consequently other classic energy conditions (CECs), is
presented. The methods of producing effective exotic matter (EM) for a
traversable wormhole (TW) are discussed. Also, the approaches of less necessity
of TWs to EM are considered. The result is, TW and similar structures; i.e.,
warp drive (WD) and Krasnikov tube are not just theoretical subjects for
teaching general relativity (GR) or objects only an advanced civilization would
be able to manufacture anymore, but a quite reachable challenge for current
technology. Besides, a new compound metric is introduced as a choice for
testing in the lab.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 13:31:52 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jan 2006 16:50:09 GMT""}]","2007-05-23"
"gr-qc/0511087","Sergio Dain","Sergio Dain","Proof of the (local) angular momemtum-mass inequality for axisymmetric
  black holes","14 pages","Class.Quant.Grav. 23 (2006) 6845-6856","10.1088/0264-9381/23/23/015",,"gr-qc",,"  We prove that for any vacuum, maximal, asymptotically flat, axisymmetric
initial data for Einstein equations close to extreme Kerr data, the inequality
$\sqrt{J} \leq m$ is satisfied, where $m$ and $J$ are the total mass and
angular momentum of the data. The proof consists in showing that extreme Kerr
is a local minimum of the mass.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 14:15:16 GMT""}]","2009-11-11"
"gr-qc/0511088","Giulio Ruffini","G. Ruffini","Quantization of simple parametrized systems","1995 UC Davis/LANL PhD thesis",,,,"gr-qc",,"  I study the canonical formulation and quantization of some simple
parametrized systems, including the non-relativistic parametrized particle and
the relativistic parametrized particle. Using Dirac's formalism I construct for
each case the classical reduced phase space and study the dependence on the
gauge fixing used. Two separate features of these systems can make this
construction difficult: the actions are not invariant at the boundaries, and
the constraints may have disconnected solution spaces. The relativistic
particle is affected by both, while the non-relativistic particle displays only
by the first. Analyzing the role of canonical transformations in the reduced
phase space, I show that a change of gauge fixing is equivalent to a canonical
transformation. In the relativistic case, quantization of one branch of the
constraint at the time is applied and I analyze the electromagenetic
backgrounds in which it is possible to quantize simultaneously both branches
and still obtain a covariant unitary quantum theory. To preserve unitarity and
space-time covariance, second quantization is needed unless there is no
electric field. I motivate a definition of the inner product in all these cases
and derive the Klein-Gordon inner product for the relativistic case. I
construct phase space path integral representations for amplitudes for the BFV
and the Faddeev path integrals, from which the path integrals in coordinate
space (Faddeev-Popov and geometric path integrals) are derived.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 14:36:14 GMT""}]","2007-05-23"
"gr-qc/0511089","Torsten Asselmeyer-Maluga","Torsten Asselmeyer-Maluga and Helge Rose'","Differential Structures - the Geometrization of Quantum Mechanics","ReVTeX4, 13 pages, 2 figures,major corrections in the definition of
  the singular form, the trace and the complex structure",,,,"gr-qc hep-th math-ph math.MP",,"  The usual quantization of a classical space-time field does not touch the
non-geometrical character of quantum mechanics. We believe that the deep
problems of unification of general relativity and quantum mechanics are rooted
in this poor understanding of the geometrical character of quantum mechanics.
In Einstein's theory gravitation is expressed by geometry of space-time, and
the solutions of the field equation are invariant w.r.t. a certain equivalence
class of reference frames. This class can be characterized by the differential
structure of space-time. We will show that matter is the transition between
reference frames that belong to different differential structures, that the set
of transitions of the differential structure is given by a Temperley-Lieb
algebra which is extensible to a $C^{*}$-algebra comprising the field operator
algebra of quantum mechanics and that the state space of quantum mechanics is
the linear space of the differential structures. Furthermore we are able to
explain the appearance of the complex numbers in quantum theory. The strong
relation to Loop Quantum Gravity is discussed in conclusion.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 14:43:47 GMT""},{""version"":""v2"",""created"":""Fri, 18 Nov 2005 10:33:18 GMT""},{""version"":""v3"",""created"":""Fri, 31 Mar 2006 11:30:42 GMT""}]","2007-05-23"
"gr-qc/0511090","Andre Fuzfa","A. Fuzfa, J.-M. Alimi","Non-Abelian Einstein-Born-Infeld-Dilaton Cosmology","31 pages, 9 figures, minor changes, accepted for publication in Phys.
  Rev. D15","Phys.Rev.D73:023520,2006","10.1103/PhysRevD.73.023520",,"gr-qc astro-ph hep-ph hep-th",,"  The non-abelian Einstein-Born-Infeld-Dilaton theory, which rules the dynamics
of tensor-scalar gravitation coupled to a $su(2)$-valued gauge field ruled by
Born-Infeld lagrangian, is studied in a cosmological framework. The microscopic
energy exchange between the gauge field and the dilaton which results from a
non-universality of the coupling to gravity modifies the usual behaviour of
tensor-scalar theories coupled to matter fluids. General cosmological
evolutions are derived for different couplings to gravitation and a comparison
to universal coupling is highlighted. Evidences of cosmic acceleration are
presented when the evolution is interpreted in the Jordan physical frame of a
matter respecting the weak equivalence principle. The importance for the
mechanism of cosmic acceleration of the dynamics of the Born-Infeld gauge
field, the attraction role of the matter fluid and the non-universality of the
gravitational couplings is briefly outlined.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:05:56 GMT""},{""version"":""v2"",""created"":""Thu, 5 Jan 2006 16:17:20 GMT""}]","2011-07-19"
"hep-ex/0511040","A. D. Krisch","A. D. Krisch (University of Michigan)","Violent Collisions of Spinning Protons","8 pages, 7 figures, XIth International Conference on Elastic and
  Diffractive Scattering Chateau de Blois, France, May 15 - 20, 2005",,,,"hep-ex hep-ph physics.acc-ph",,"  There will be a review of the history of polarized proton beams, and a
discussion of the unexpected and still unexplained large transverse spin
effects found in several high energy proton-proton spin experiments at the ZGS,
AGS and Fermilab. Next, there will be a discussion of present and possible
future experiments on the violent elastic collisions of polarized protons at
the 70 GeV U-70 accelerator at IHEP-Protvino in Russia and the new high
intensity 50 GeV J-PARC facility being built at Tokai in Japan.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:08:27 GMT""}]","2007-05-23"
"hep-lat/0511028","Jon-Ivar Skullerud","Gert Aarts, Chris Allton, Richie Morrin, Alan O Cais, Mehmet Bugrahan
  Oktay, Mike Peardon, Jon-Ivar Skullerud","Mesons at high temperature in Nf=2 QCD","4 pages, 4 figures, to appear in proceedings of Computational Hadron
  Physics, Nicosia, 14-17 Sep 2005","Nucl.Phys.Proc.Suppl.153:296-299,2006","10.1016/j.nuclphysbps.2006.01.033","TRINLAT-05/11","hep-lat",,"  We report first results for spectral functions of charmonium in 2-flavour
QCD. The spectral functions are determined from vector and pseudoscalar
correlators on a dynamical, anisotropic lattice. J/psi and eta_c are found to
survive well into the deconfined phase before melting away at T<~2T_c. Current
systematic uncertainties prevent us from drawing any definite conclusions at
this stage.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 16:16:38 GMT""}]","2011-03-23"
"hep-lat/0511029","Maria-Paola Lombardo","Massimo D'Elia, Francesco Di Renzo, Maria Paola Lombardo","QCD at High Temperature : Results from Lattice Simulations with an
  Imaginary mu","7 pages, 2 figures; To appear in the proceedings of QCD@Work
  2005,International Workshop on Quantum Chromodynamics, Conversano, Bari,
  Italy, 16-20 Jun 2005",,"10.1063/1.2163770",,"hep-lat",,"  We summarize our results on the phase diagram of QCD with emphasis on the
high temperature regime. For $T \ge 1.5 T_c$ the results are compatible with a
free field behavior, while for $T \simeq 1.1 T_c$ this is not the case, clearly
exposing the strongly interacting nature of QCD in this region
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:25:16 GMT""}]","2009-11-11"
"hep-lat/0511030","Falk Bruckmann","Falk Bruckmann, Ernst-Michael Ilgenfritz","Laplacian modes as a filter","talk presented by FB at the Workshop on Computational Hadron Physics,
  Nikosia (Cyprus), Sept. 14-17, 2005; compared to hep-lat/0509020 and
  hep-lat/0509087 we have added the following points: 1. the kinetic term
  (square of the covariant derivative) as an analyzing observable, 2. the
  correlation of filtered link variables to the original ones, 3. the filtered
  string tension from modes with shifted ordinal number; 8 pages, 8 figures,
  uses espcrc2.sty","Nucl.Phys.Proc.Suppl. 153 (2006) 33-40","10.1016/j.nuclphysbps.2006.01.003","HU-EP-05/74","hep-lat",,"  We compute low-lying eigenmodes of the gauge covariant Laplace operator on
the lattice at finite temperature. For classical configurations we show how the
lowest mode localizes the monopole constituents inside calorons and that it
hops upon changing the boundary conditions. The latter effect we observe for
thermalized backgrounds, too, analogously to what is known for fermion zero
modes.
  We propose a new filter for equilibrium configurations which provides link
variables as a truncated sum involving the Laplacian modes. This method not
only reproduces classical structures, but also preserves the confining
potential, even when only a few modes are used.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 09:03:59 GMT""}]","2009-11-11"
"hep-lat/0511031","Hartmut Neff","R. C. Brower, H. Neff, K. Orginos","Moebius Fermions","8 pages, 7 PostScript figures, to appear in proceedings of
  Computational Hadron Physics, Nicosia, 14-17 Sep 2005","Nucl.Phys.Proc.Suppl. 153 (2006) 191-198","10.1016/j.nuclphysbps.2006.01.047",,"hep-lat",,"  We introduce a new domain wall operator that represents a full (real) Moebius
transformation of a given non-chiral Dirac kernel. Shamir's and Borici's domain
wall fermions are special cases of this new class. By tuning the parameters of
the Moebius operator and by introducing a new Red/Black preconditioning, we are
able to reduce the computational effort substantially.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:07:23 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 2005 17:19:59 GMT""},{""version"":""v3"",""created"":""Thu, 24 Nov 2005 11:57:56 GMT""}]","2009-11-11"
"hep-ph/0511178","Michael Rijssenbeek","Stanley J. Brodsky, Michael Rijssenbeek","XIth International Conference on Elastic and Diffractive Scattering in
  Chateau de Blois, France, May 15 - 20, 2005. Conference Summary","SLAC-PUB-11553",,,,"hep-ph",,"  Summary of the XIth International Conference on Elastic and Diffractive
Scattering in Chateau de Blois, France, May 15 - 20, 2005, summarizing both
theoretical and experimental presentations and discussions.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 16:54:59 GMT""}]","2007-05-23"
"hep-ph/0511187","Tord Riemann","M. Czakon, J. Gluza, T. Riemann","On the massive two-loop corrections to Bhabha scattering","8 pages, 2 figures, latex, Contribution to Proceedings of XXIX Conf.
  of Theoretical Physics: Matter to the Deepest, Ustron, Poland, 8-14 September
  2005; preprint number added","Acta Phys.Polon. B36 (2005) 3319-3326",,"DESY 05-215","hep-ph",,"  We overview the general status of higher order corrections to Bhabha
scattering and review recent progress in the determination of the two-loop
virtual corrections. Quite recently, they were derived from combining a
massless calculation and contributions with electron sub-loops. For a massive
calculation, the self-energy and vertex master integrals are known, while most
of the two-loop boxes are not. We demonstrate with an example that a study of
systems of differential equations, combined with Mellin-Barnes representations
for single masters, might open a way for their systematic calculation.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 16:46:35 GMT""},{""version"":""v2"",""created"":""Tue, 15 Nov 2005 23:42:39 GMT""}]","2007-05-23"
"hep-ph/0511188","Thorsten Ohl","Ana Alboteanu, Thorsten Ohl, Reinhold R\""uckl (W\""urzburg University)","Collider Tests of the Non-Commutative Standard Model","LaTeX, 4 pages (to appear in the proceedings of the International
  Europhysics Conference on High Energy Physics, 2005, Lisboa, Portugal)",,,"WUE-ITP-2005-005","hep-ph",,"  We discuss the non-commutative extension of the standard model constructed
with the Seiberg-Witten maps for SU(3)_C x SU(2)_L x U(1)_Y. Using the
first-order approximation in the non-commutative parameters theta, we estimate
the sensitivity of Z-gamma-production at the Tevatron and LHC from Monte Carlo
simulation.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 18:34:00 GMT""}]","2007-05-23"
"hep-ph/0511189","Rodolfo Sassot","A. Daleo, R. Sassot","Order alpha_s^2 QCD corrections to inclusive jet production in deep
  inelastic scattering","13 pages, 9 figures","Phys.Rev.D73:054014,2006","10.1103/PhysRevD.73.054014","ZU-TH 21/05","hep-ph",,"  We analyze the order alpha_s^2 corrections to the single inclusive jet cross
section in lepton-nucleon deep inelastic scattering. The full calculation is
done analytically, in the small cone approximation, obtaining finite NLO
partonic level cross sections for these processes. A detailed study of the
different underlying partonic reactions is presented focusing in the size of
the corrections they get at NLO accuracy, their relative weight, and the
residual scale uncertainty they leave in the full cross section depending on
the kinematical region explored. The dominant partonic process in very forward
jet production is found to start at order alpha_s^2, being effectively a lowest
order estimate, with the consequent large factorization scale uncertainty, and
the likelihood of non-negligible corrections at the subsequent order in
perturbation theory.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:27:21 GMT""}]","2008-11-26"
"hep-ph/0511190","Gergely G\'abor Barnaf\""oldi","G.G. Barnafoldi, P. Levai, G. Papp, G.Fai","The Nuclear Modification Factor at Large Rapidities","4 pages, 2 figures, Contribution to the Poster Proceedings of the
  Quark Matter 2005 Conference. To be published in Nuclear Physics A","Nucl.Phys. A774 (2006) 801-804","10.1016/j.nuclphysa.2006.06.139",,"hep-ph",,"  RHIC data on high-$p_T$ hadron production display strong suppression in a
wide rapidity region, indicating strong induced energy loss for both
transversally and longitudinally traveling partons. We investigate the
interplay of energy loss and rapidity dependence in a perturbative QCD improved
parton model, and estimate the opacity of the produced hot matter in $AuAu$
collisions at energies $\sqrt{s}=200$ $A$GeV and 63 $A$GeV at different
rapidity values. Direction-dependent suppression offers the possibility to
study the geometry of the hot matter.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:40:53 GMT""}]","2009-11-11"
"hep-ph/0511191","Ramaswamy S. Raghavan","R. S. Raghavan","Recoilless Resonant Capture of Antineutrinos",,,,,"hep-ph",,"  Resonant capture of antineutrinos can be accomplished by exploiting the
monoenergetic antineutrinos emitted in bound state beta-decay. Extending this
idea, I explore conditions for recoilless resonant capture in the system 3H -
3He. Observation of such transitions can set the stage for placing stringent
limits on the neutrino parameter theta-13 on an ultra-short baseline of ~9 m
and for observing the gravitational red shift of neutrinos
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 20:35:10 GMT""}]","2007-05-23"
"hep-ph/0511192","Shahin Agaev","S. S. Agaev","Impact of the higher twist effects on the $\gamma\gamma^{*} \to \pi^{0}$
  transition form factor","15 pages, 7 figures. Numerical errors in $\Phi_4^{(4)}(u)$
  (Eq.(3.9)), and in $\phi_4^1(u)$, \rho_4^4(t,s), H_4^4(t)$ (Appendix)
  corrected. The figures and Section IV revised. Conclusions changed","Phys.Rev.D72:114010,2005; Erratum-ibid.D73:059902,2006","10.1103/PhysRevD.72.114010 10.1103/PhysRevD.73.059902",,"hep-ph",,"  We reanalyze the $\gamma\gamma^{*} \to \pi^{0}$ transition form factor
$F_{\pi\gamma}(Q^2)$ within the QCD light-cone sum rules method with the
twist-4 accuracy. In computations the pion leading twist distribution amplitude
(DA) with two nonasymptotic terms, and the renormalon method-inspired twist-4
DAs are used. The latters allow us to estimate impact of effects due to higher
conformal spin components in the pion twist-4 DAs on the form factor
$F_{\pi\gamma}(Q^2)$. Obtained theoretical predictions are employed to deduce
constraints on the pion DAs from CELLO and CLEO data.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 09:08:13 GMT""},{""version"":""v2"",""created"":""Fri, 10 Feb 2006 11:30:31 GMT""}]","2014-11-18"
"hep-ph/0511193","Martin Schumacher","M.I. Levchuk, A.I. L'vov, A.I. Milstein, M. Schumacher","Structure of the $\sigma$-meson and diamagnetism of the nucleon","Contribution made by Martin Schumacher to the International Workshop
  on the Physics of Excited Baryons, 12 - 15 Oct. 2005, Tallahasse, Florida USA",,"10.1142/9789812773333_0057","hep-ph/0511193","hep-ph",,"  The structure of the $\sigma$ meson and the diamagnetism of the nucleon are
shown to be topics which are closely related to each other. Arguments are found
that the $\sigma$ meson couples to two photons via its non-strange $q\bar{q}$
structure component. This ansatz leads to a quantitative explanation of the
$t$-channel component of the difference of electromagnetic polarizabilities,
(\alpha-\beta)^t$, containing the diamagnetism of the nucleon. The prediction
is $(\alpha-\beta)^t_{p,n}=(5\alpha_e g_{\pi MM})/(6\pi^2 m^2_\sigma
f_\pi)=15.3$ in units of $10^{-4}{\rm fm}^3$ to be compared with the
experimental value $(\alpha-\beta)^t_p=15.1\pm 1.3$ for the proton and
$(\alpha-\beta)^t_n=14.8\pm 2.7$ for the neutron. The equivalent approach to
exploit the $\pi\pi$ structure component of the $\sigma$ meson via the BEFT sum
rule leads to $(\alpha-\beta)^t_{p,n}=14\pm 2$, what also is in agreement with
the experimental results.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 10:46:03 GMT""}]","2017-08-23"
"hep-ph/0511194","Gottfried Holzwarth","Gottfried Holzwarth","Electromagnetic Form Factors of the Nucleon in Chiral Soliton Models","Contribution to the volume ""The Multifaceted Skyrmion"" edited by
  G.E.Brown and Mannque Rho, publ.by World Scientific Publ. Comp., 2009. It is
  an updated and extended version of a talk originally presented at the
  workshop Nucleon05 ""Nucleon Form Factors"", Frascati, Oct. 12-14, 2005",,,,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The ratio of electric to magnetic proton form factors G_E/G_M as measured in
polarization transfer experiments shows a characteristic linear decrease with
increasing momentum transfer Q^2. We present a simple argument how such a
decrease arises naturally in chiral soliton models. For a detailed comparison
of model results with experimentally determined form factors it is necessary to
employ a boost from the soliton rest frame to the Breit frame. To enforce
asymptotic counting rules for form factors, the model must be supplemented by
suitably chosen interpolating powers n in the boost prescription. Within the
minimal pi-rho-omega soliton model, with the same n for both, electric and
magnetic form factors, it is possible to obtain a very satisfactory fit to all
available proton data for the magnetic form factor and to the recent
polarization results for the ratio G_E/G_M. At the same time the small and very
sensitive neutron electric form factor is reasonably well reproduced. The
results show a systematic discrepancy with presently available data for the
neutron magnetic form factor G_M^n for Q^2 > 1 (GeV/c)^2. We additionally
comment on the possibility to extract information about the form factors in the
time-like region and on two-photon exchange contributions to unpolarized
elastic scattering which specifically arise in soliton models.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 11:41:22 GMT""},{""version"":""v2"",""created"":""Mon, 12 Dec 2005 10:52:44 GMT""},{""version"":""v3"",""created"":""Fri, 13 Feb 2009 16:26:15 GMT""}]","2009-02-13"
"hep-ph/0511195","Imad Khaled Bensafa","I.K.Bensafa, F.Iddir and L.Semlala","S-wave and P-wave non-strange baryons in the potential model of QCD","26 pages, 1 figure",,,,"hep-ph",,"  In this paper, we study the nucleon energy spectrum in the ground-state (with
orbital momentum L=0) and the first excited state (L=1). The aim of this study
is to find the mass and mixing angles of excited nucleons using a potential
model describing QCD. This potential is of the ""Coulombian + linear"" type and
we take into account some relativistic effects, namely we use essentially a
relativistic kinematic necessary for studying light flavors. By this model, we
found the proton and $\Delta (1232)$ masses respectively equal to ($968MeV$,
$1168MeV$), and the masses of the excited states are between $1564MeV$ and
$1607MeV$.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 13:00:06 GMT""}]","2007-05-23"
"hep-ph/0511196","Carlo Ewerz","Carlo Ewerz","The Odderon: Theoretical Status and Experimental Tests","5 pages, Talk presented at the XIth International Conference on
  Elastic and Diffractive Scattering, Blois, May 2005",,,"IFUM-837-FT, ECT*-05-17","hep-ph",,"  I review the theoretical and experimental status of the Odderon with emphasis
on recent developments.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 14:19:06 GMT""}]","2007-05-23"
"hep-ph/0511197","Joerg Jaeckel","Steven A. Abel, Joerg Jaeckel, Valentin V. Khoze and Andreas Ringwald","Noncommutativity, Extra Dimensions, and Power Law Running in the
  Infrared","22 pages, 2 figures and 1 table","JHEP 0601 (2006) 105","10.1088/1126-6708/2006/01/105","DESY 05-230, IPPP/05/76, DCPT/05/146","hep-ph hep-th",,"  We investigate the running gauge couplings of U(N) noncommutative gauge
theories with compact extra dimensions. Power law running of the trace-U(1)
gauge coupling in the ultraviolet is communicated to the infrared by
ultraviolet/infrared mixing, whereas the SU(N) factors run exactly as in the
commutative theory. This results in theories where the experimentally excluded
trace-U(1) factors decouple with a power law running of the momentum in the
extreme infrared, effectively hiding them from detection.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 14:20:25 GMT""}]","2009-11-11"
"hep-ph/0511198","Yongseok Oh","Yongseok Oh, K. Nakayama, T.-S. H. Lee","Photo-excitation of hyperons and exotic baryon in gamma N --> K Anti-K N","4 pages, 2 figures, presented at Workshop on the Physics of Excited
  Nucleons (NSTAR 2005), Tallahassee, Florida, 12-15 Oct 2005",,"10.1142/9789812773333_0051",,"hep-ph",,"  We investigate the reaction of $\gamma N \to K \bar{K} N$ focusing on the
photoproduction of $\Lambda(1520)$ and putative exotic $\Theta(1540)$. We
consider various background production mechanisms including the production of
vector mesons, tensor mesons, and other $\Lambda$ and $\Sigma$ hyperons. We
discuss the angular distribution of $\Lambda(1520)$ photoproduction cross
section and the radiative decays of $\Lambda(1520)$. We also discuss what we
expect for the invariant mass distributions if the $\Theta(1540)$ is formed in
the reaction, with the parameters studied so far. We find that the peak in the
$KN$ invariant mass distribution, if confirmed, can hardly come from the
kinematic reflections, especially, due to the tensor meson backgrounds.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:55:14 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 2005 21:52:48 GMT""}]","2017-08-23"
"hep-th/0511151","George Bogoslovsky","G.Yu. Bogoslovsky","Lorentz symmetry violation without violation of relativistic symmetry","10 pages, to appear in Phys. Lett. A","Phys.Lett.A350:5-10,2006","10.1016/j.physleta.2005.11.007",,"hep-th",,"  Within the framework of the Finslerian approach to the problem of violation
of Lorentz symmetry, consideration is given to a flat axially symmetric
Finslerian space of events, which is the generalization of Minkowski space.
Such an event space arises from the spontaneous breaking of initial gauge
symmetry and from the formation of anisotropic fermion-antifermion condensate.
It is shown that the appearance of an anisotropic condensate breaks Lorentz
symmetry; relativistic symmetry, realized by means of the 3-parameter group of
generalized Lorentz boosts, remains valid here nevertheless. We have obtained
the bispinor representation of the group of generalized Lorentz boosts, which
makes it possible to construct the Lagrangian for an interaction of fundamental
fields with anisotropic condensate.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 18:58:29 GMT""}]","2008-11-26"
"hep-th/0511156","Gerald V. Dunne","Gerald V. Dunne and Hyunsoo Min","Beyond the thin-wall approximation : precise numerical computation of
  prefactors in false vacuum decay","28 pages, 8 figures","Phys.Rev. D72 (2005) 125004","10.1103/PhysRevD.72.125004",,"hep-th",,"  We present a general numerical method for computing precisely the false
vacuum decay rate, including the prefactor due to quantum fluctuations about
the classical bounce solution, in a self-interacting scalar field theory
modeling the process of nucleation in four dimensional spacetime. This
technique does not rely on the thin-wall approximation. The method is based on
the Gelfand-Yaglom approach to determinants of differential operators, suitably
extended to higher dimensions using angular momentum cutoff regularization. A
related approach has been discussed recently by Baacke and Lavrelashvili, but
we implement the regularization and renormalization in a different manner, and
compare directly with analytic computations made in the thin-wall
approximation. We also derive a simple new formula for the zero mode
contribution to the fluctuation prefactor, expressed entirely in terms of the
asymptotic behavior of the classical bounce solution.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:56:32 GMT""}]","2009-11-11"
